docs	abnormal	accept	according	account	ache	aching	act	acting	admission	admit	advance	afar	afraid	aggressive	ago	agony	ahead	air	alcohol	alligator	alright	ambulance	angle	answer	anxiety	apart	apartment	appear	applaud	approach	architecture	argue	arm	arrive	arrives	art	asked	asleep	assimilate	atmosphere	attention	attitude	aunt	aura	automatic	awake	backwards	backwood	badly	bag	baggage	balance	ball	band	bang	banging	bank	bar	bare	barely	baseline	basement	bass	bay	beach	beating	beautiful	beauty	bedroom	bedside	beef	beer	begin	belief	believed	belong	belt	bend	best	bet	bigger	biggest	bikini	billboard	bit	bite	blame	blaze	bleed	bleeding	blessed	blind	blob	blood	blowing	blue	board	boat	bobby	bomb	bone	book	boom	booth	booty	born	bother	bottle	bought	bounce	boyfriend	brand	breakdown	breaking	breath	breathe	breathes	bridge	bright	broke	brother	budget	build	bullet	bunny	buries	burn	burning	burst	bury	bus	business	bye	cabinet	cable	calm	calypso	candle	cannabis	car	carry	cartridge	case	cash	cat	catch	caught	causing	cell	certified	chain	challenge	chance	changing	charge	charming	chase	chat	check	checked	cherry	chest	chi	child	childhood	chip	chit	choose	cigarette	circle	city	claim	class	classy	clean	clear	clearly	climb	clock	closed	closer	closet	cloud	club	clue	coast	coat	cocky	coffee	coin	coke	cold	collide	color	colorful	comfort	commitment	committed	completely	complicated	confess	confident	confused	conquer	contact	continue	control	conversation	convince	cookie	cool	cop	copped	copy	corner	corvette	cost	costume	cough	count	counting	country	coupe	couple	cousin	cover	crash	crawling	cream	crew	cried	crime	critical	cross	crowd	cruel	cuddle	culture	cup	curfew	curtain	curve	cut	dad	daddy	dale	damn	danced	danger	dangerous	dare	dark	darkness	darling	daughter	dawn	daylight	dead	deal	deceiving	decide	decline	deep	demanded	deny	depart	departure	deserve	designed	desire	despair	despite	destiny	devil	dial	diamond	dick	die	difference	different	difficult	dine	dinner	dipper	direction	dirt	dirty	disappeared	disco	discount	discussion	disguise	dish	distance	distant	distracted	district	dive	diving	dodge	dog	dollar	dot	double	doubt	drama	drank	drastic	draw	dreaming	dress	dressed	dresser	drink	drinking	drip	driver	driving	dropped	drown	drug	duck	dude	dust	dying	dynamite	early	earth	ease	easier	easily	eating	eats	ecstasy	edge	edition	embrace	ended	enemy	energy	enjoy	enter	envy	equator	erase	escape	et	evening	evil	exactly	excitement	excuse	exist	expect	expensive	explain	exploring	facing	fact	fade	failed	faith	fake	fallen	falling	false	fame	family	fan	far	fashion	fast	fat	fate	father	favorite	fear	feather	fed	feed	fell	felt	fever	field	fighting	figure	filter	final	finally	fine	finger	finish	firefly	fish	fishtail	fit	fitness	fix	flame	flex	flexing	floor	flourishing	flow	flower	fly	flying	follow	foot	fore	foreign	forever	forgetting	forgive	forgot	forgotten	form	forward	franklin	freak	freeze	fresh	fruit	fucked	fucking	fumed	funny	fur	future	gang	gangland	gas	gassed	gave	general	ghetto	girlfriend	given	giving	glass	glazed	glue	goal	gold	goodbye	gorgeous	grab	grace	grain	grape	grave	gray	great	green	greeting	grew	grill	ground	grownup	guess	gun	guy	hair	halal	handle	handsome	hang	hanging	hangman	happiness	happy	harder	hate	hater	haven	haze	heal	healing	heals	heard	hearted	heat	heaven	heavy	hectic	heel	hell	hello	help	hide	hiding	higher	highway	hill	hip	history	ho	hoe	holding	holiday	holy	home	homegrown	honestly	honey	hood	hook	hookah	hop	hopped	horn	hot	hotel	hotter	house	hug	human	hurry	hurt	hurting	husband	hush	ice	icy	idea	idle	ignite	ignore	imagine	imitate	impression	inch	incidental	industry	infinite	innocence	insane	insecure	intact	intention	interest	interesting	invisible	issue	jacket	jackpot	jag	jam	jealous	jeopardize	jeweler	jewelry	job	joint	jolly	judge	juice	jungle	key	kick	kid	kidding	killing	kind	king	kissed	kitchen	knee	knowing	known	lager	lam	lame	land	landing	language	lately	later	laugh	law	lay	laying	lead	leaf	lean	learn	leather	leaving	leg	lemon	level	lick	lied	lift	lightning	liked	limo	line	lingers	lion	lip	liquidate	list	listen	listened	listening	lit	live	living	llama	lock	locked	loneliness	lonely	long	longer	looked	loose	loot	lord	losing	loud	loved	lover	loving	low	lucid	luck	lucky	lung	lying	lyric	machine	mad	magazine	magic	makeup	mama	manhood	manner	mansion	manual	marathon	marijuana	mask	master	material	meat	medicine	meet	melody	memo	memory	men	mentality	mentally	mention	mess	messed	messy	met	middleman	midnight	minute	miracle	mirror	missed	missing	mistake	mistreat	mix	mixing	moccasin	model	mom	moment	momma	mommy	monkey	month	monumental	mood	morning	mother	motherfucker	mountaintop	mouth	movie	moving	mud	multiple	mustang	nasty	naughty	navigate	near	neighbor	neighborhood	nervous	news	nice	nightfall	noose	normal	nose	note	notice	novel	number	oak	object	objection	obvious	ocean	old	open	opened	order	ordered	overnight	overseas	overtime	pace	pack	page	paid	pain	paint	painting	pajama	palm	pan	pant	paper	paradise	park	parking	partake	parted	particle	pass	passed	passion	passport	patience	pay	peace	pedal	pen	people	perfect	person	phone	physically	pick	picket	picture	pillow	pilot	pimp	pin	pique	pit	place	plan	planted	plastic	plate	played	playing	plaza	plenty	plug	pocket	pod	point	pole	polite	pool	popcorn	portrait	posse	post	posted	pour	pouring	pours	power	practice	pray	prefer	prescription	presence	present	president	press	pressure	pretend	prettiest	pretty	price	pride	problem	profit	project	promise	promised	pronounce	protect	proud	prove	proving	pull	pulled	pulling	pump	purple	push	pussy	qua	quarter	queen	quench	question	quick	rabbit	rack	radio	rain	raise	raised	ram	ran	range	rap	rapper	rare	raw	reach	read	ready	realize	reason	reasoned	recipe	recognize	record	recorded	recover	red	reflection	refrain	refuse	regardless	regret	relate	religion	remain	remains	remedy	remember	replace	republic	reputation	resistance	respect	responsible	rest	retreat	return	rhythm	rich	ride	ring	rise	rising	risk	river	road	rock	rocky	role	romantic	roof	rose	round	ruin	rule	rum	rumbling	rumor	sad	sailing	salt	sand	sang	sat	sauce	savage	save	saw	scare	scared	scene	school	scream	scum	sea	searched	season	seasoning	seat	secret	seeing	sell	send	sending	sense	sentence	seriously	setting	settle	sex	sexy	shade	shadow	shake	shame	share	sheet	shell	shine	shining	ship	shirt	shock	shoe	shook	shoot	shooter	shop	shopping	short	shorty	shot	shotgun	shower	showing	shut	shy	sick	sight	signal	silence	silent	silk	simple	sin	sing	singing	single	sip	sit	situation	size	skate	skirt	sky	slept	slide	slowly	small	smell	smile	smoke	smoking	smooth	snake	sneak	sniff	snow	soaker	sock	soft	son	song	soul	sound	south	soy	space	spark	speak	speaking	speed	speeding	spell	spending	spent	spicy	spiritual	spit	spray	squad	stack	stage	stair	stand	standing	star	starship	start	started	starting	state	stayed	staying	steal	step	stick	stone	stopped	stopping	store	storm	story	straight	stranger	street	strength	stress	stressed	stripper	strong	stronger	stuck	stuff	stumble	stunting	stupid	style	suck	suffer	suicide	suit	suitcase	suiting	summer	sundown	sunny	sunrise	sunshine	super	supposed	sure	surrender	survivor	sweat	sweet	sweetest	swim	table	tail	talking	tan	tangled	tank	tap	target	taste	tatted	taught	team	tear	television	telling	temperature	tempo	tense	test	tested	text	thank	thanks	theater	thirst	threat	throat	throw	throwing	ticket	tie	tight	ting	toe	tone	touched	touching	tough	tour	toy	tr	trace	track	train	travel	traveling	treat	tree	tremor	tried	trip	triple	trouble	true	trust	truth	turned	turning	typical	ugly	unaware	uncle	underneath	understand	underwear	unfamiliar	unfinished	unfortunately	universe	unloose	use	vacation	valley	vegetarian	vein	velvet	vice	video	voice	volume	waist	waited	waiting	wake	walked	walking	wall	wallet	wanderer	war	warm	warms	warmth	warn	waste	watching	water	wave	wear	wearing	wedding	weed	week	weight	welcome	wet	wheel	whisper	white	wide	wife	wiggle	wild	win	wind	window	windshield	wine	wing	winter	wipe	woman	wonder	wondering	wonderland	wood	working	worldwide	worried	worry	worst	wound	wrap	wrist	write	wrote	yard	yelled	yellow	young	younger	zone
Argentina	0.05	0.06	0.0	0.07	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.07	0.0	0.06	0.0	0.07	0.0	0.05	0.06	0.0	0.06	0.07	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.06	0.0	0.06	0.0	0.0	0.0	0.04	0.06	0.0	0.0	0.0	0.06	0.06	0.0	0.0	0.0	0.05	0.0	0.04	0.0	0.0	0.06	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.06	0.05	0.0	0.07	0.07	0.0	0.0	0.04	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.06	0.04	0.07	0.0	0.04	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.06	0.0	0.07	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.07	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.04	0.06	0.04	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.07	0.07	0.0	0.0	0.0	0.06	0.06	0.06	0.0	0.05	0.04	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.06	0.0	0.0	0.05	0.06	0.0	0.07	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.04	0.0	0.07	0.04	0.0	0.05	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.05	0.07	0.0	0.0	0.0	0.0	0.06	0.0	0.06	0.0	0.0	0.06	0.0	0.0	0.0	0.05	0.06	0.0	0.0	0.0	0.07	0.0	0.0	0.05	0.0	0.0	0.07	0.05	0.06	0.0	0.0	0.05	0.0	0.06	0.0	0.07	0.07	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.06	0.0	0.04	0.04	0.06	0.0	0.0	0.0	0.07	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.04	0.0	0.06	0.05	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.05	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.03	0.06	0.0	0.0	0.06	0.05	0.04	0.0	0.0	0.06	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.03	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.03	0.0	0.0	0.0	0.04	0.0	0.0	0.04	0.06	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.03	0.07	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.07	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.06	0.0	0.06	0.03	0.0	0.06	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.06	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.05	0.07	0.05	0.03	0.0	0.0	0.0	0.03	0.03	0.0	0.0	0.0	0.07	0.06	0.03	0.05	0.0	0.04	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.04	0.0	0.06	0.06	0.0	0.04	0.07	0.07	0.06	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.07	0.06	0.07	0.0	0.0	0.06	0.07	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.04	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.07	0.0	0.07	0.0	0.06	0.0	0.05	0.03	0.04	0.0	0.07	0.0	0.05	0.0	0.0	0.03	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.05	0.0	0.04	0.04	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.06	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.07	0.03	0.06	0.07	0.0	0.0	0.07	0.0	0.0	0.03	0.07	0.0	0.04	0.0	0.0	0.0	0.06	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.04	0.0	0.07	0.0	0.0	0.06	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.03	0.0	0.0	0.04	0.0	0.0	0.03	0.06	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.0	0.0	0.07	0.0	0.0	0.04	0.04	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.06	0.07	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.04	0.0	0.0	0.0	0.07	0.0	0.0	0.03	0.0	0.05	0.06	0.04	0.0	0.0	0.0	0.0	0.06	0.06	0.0	0.0	0.0	0.0	0.07	0.03	0.05	0.0	0.07	0.03	0.06	0.07	0.0	0.04	0.0	0.05	0.03	0.0	0.0	0.0	0.0	0.0	0.03	0.06	0.0	0.0	0.0	0.04	0.0	0.03	0.07	0.06	0.07	0.0	0.04	0.06	0.0	0.03	0.0	0.0	0.0	0.0	0.06	0.0	0.05	0.07	0.06	0.0	0.05	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.07	0.0	0.0	0.05	0.0	0.0	0.06	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.03	0.0	0.03	0.0	0.0	0.0	0.06	0.0	0.06	0.0	0.03	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.04	0.03	0.0	0.05	0.0	0.07	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.05	0.0	0.0	0.05	0.0	0.04	0.05	0.0	0.06	0.0	0.0	0.0	0.0	0.06	0.0	0.07	0.0	0.0	0.03	0.0	0.06	0.07	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.04	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.07	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.07	0.0	0.0	0.0	0.07	0.0	0.0	0.04	0.0	0.04	0.06	0.0	0.04	0.04	0.0	0.06	0.06	0.0	0.06	0.06	0.07	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.05	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.06	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Australia	0.0	0.0	0.0	0.0	0.05	0.07	0.0	0.08	0.0	0.05	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.05	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.07	0.08	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.09	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.08	0.0	0.0	0.0	0.07	0.0	0.0	0.06	0.06	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.06	0.0	0.06	0.0	0.0	0.0	0.0	0.05	0.05	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.05	0.05	0.0	0.06	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.06	0.0	0.06	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.06	0.0	0.0	0.05	0.0	0.04	0.05	0.0	0.0	0.0	0.05	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.05	0.08	0.0	0.04	0.0	0.0	0.0	0.08	0.0	0.0	0.05	0.0	0.06	0.05	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.07	0.0	0.07	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.04	0.0	0.0	0.0	0.07	0.09	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.08	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.04	0.0	0.0	0.0	0.0	0.04	0.0	0.07	0.0	0.0	0.04	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.05	0.05	0.0	0.0	0.0	0.0	0.04	0.0	0.04	0.0	0.0	0.06	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06	0.0	0.06	0.0	0.0	0.06	0.0	0.05	0.0	0.0	0.0	0.05	0.0	0.05	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.05	0.0	0.04	0.0	0.0	0.06	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.06	0.08	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.05	0.05	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.09	0.0	0.07	0.09	0.05	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.08	0.08	0.05	0.04	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.0	0.06	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.04	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.09	0.08	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.06	0.05	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.06	0.0	0.0	0.0	0.05	0.09	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.06	0.0	0.07	0.0	0.0	0.0	0.06	0.04	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.06	0.0	0.0	0.09	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.04	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.06	0.0	0.0	0.09	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.05	0.05	0.04	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.05	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06	0.0	0.07	0.0	0.0	0.09	0.0	0.06	0.04	0.0	0.0	0.06	0.0	0.0	0.04	0.0	0.0	0.0	0.05	0.0	0.0	0.04	0.0	0.06	0.09	0.0	0.05	0.05	0.0	0.0	0.0	0.0	0.07	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.04	0.05	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.05	0.05	0.0	0.05	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.04	0.05	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.04	0.0	0.0	0.0	0.05	0.0	0.0	0.04	0.09	0.0	0.06	0.05	0.05	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.05	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08	0.0	0.06	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.06	0.0	0.0	0.04	0.0	0.0	0.04	0.04	0.0	0.06	0.0	0.0	0.0	0.05	0.06	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.04	0.06	0.07	0.0	0.0	0.09	0.08	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.04	0.04	0.0	0.0	0.0	0.0	0.0	0.05	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.05	0.07	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.05	0.06	0.0	0.06	0.0	0.0	0.0	0.0	0.05	0.07	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.06	0.08	0.06	0.0	0.05	0.0	0.0	0.0	0.05	0.0	0.0	0.05	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.07	0.0	0.05	0.09	0.0	0.05	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.06	0.0	0.05	0.06	0.0	0.0	0.0	0.0	0.07	0.04	0.04	0.0	0.0	0.08	0.0	0.0	0.0	0.05	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.07	0.05	0.0	0.04
