25046788-85ca-44d7-8400-f095daff3c77,DJ Waley Babu,Badshah,10
00bc06f6-8a74-4903-a6f0-0041e18c60b1,Girls Like You,Maroon 5 & Cardi B,9
027fe2a9-b89a-48c2-ab23-886aa02e7ef9,I Wanna Know,NOTD & Bea Miller,9
0db30d12-7a8b-411a-aea7-3dd60e432a05,My Way,Calvin Harris,9
0f44856b-5701-4ad2-a134-0ebc06f4117c,Sunshine Girl,Moumoon,9
11b59599-c798-4f12-9f96-fdbe9c58387a,Zkittlez,Gringo,9
123e2108-d2a8-44e0-99c2-6cf8d2c7556f,Berlin Lebt,Capital Bra,9
12bb999b-9892-4c67-ad53-9dc38d4005f3,Lovely,Billie Eilish & Khalid,9
1503bcb5-a862-4601-8203-82edd81a7a7d,Drunk Groove,Maruv & Boosin,9
1ed16568-0b33-4de8-b0d9-ffd57af8e72f,Cool For The Summer,Demi Lovato,9
1fde8932-da88-4276-bc7a-874b16435178,One Kiss,Calvin Harris & Dua Lipa,9
2698cda4-ce7e-4d9d-814b-4236ca113c09,Easy Love,Sigala,9
2884ad1f-6820-4577-ab6d-748299cd1c0a,Amore E Capoeira,Takagi & Ketra  Giusy Ferreri & Sean Kingston,9
2b1854e0-3b58-48ae-9dbe-7f234830eca9,Te Amo,Piso 21 & Paulo Londra,9
2c957b10-783a-416d-bc06-c89eeb8585f5,Non Ti Dico No,BoomDaBash & Loredana Berte,9
327d9501-5512-4fbe-8144-55a27eb559e4,Mercedes,Eno,9
338b8889-b067-4524-b342-9d5d01ab5e3e,Glad,Bro,9
35387f2b-aa16-4d4e-9182-cd965b649161,Locked Away,R. City & Adam Levine,9
356cd891-32ca-48cc-93ff-6bf7542142b6,Feel It Still,Portugal. The Man,9
357a8dc6-afd7-40a2-ba7c-60f039853d0f,Sin Pijama,Becky G & Natti Natasha,9
429f5e04-9e87-40bb-8299-9bb8f4f382a2,Bonfire,Felix Jaehn & Alma,9
4342aabb-35fc-4ff0-9b02-3b387a5e53eb,Sit Ku Ma Oon Vapaa,Sanni,9
43c1a0a1-0c99-4983-b88b-836f05ecb872,Wicked Ones,Dorothy,9
441bef75-8667-4d0f-af22-9cbaaf0dccfc,Djadja,Aya Nakamura,9
46b45597-db8b-4e96-b1ff-b03cf8fa4fa0,Italiana,J-AX & Fedez,9
4a934dc2-61fb-425b-80bb-3615b63075ee,Melody,Lost Frequencies & James Blunt,9
4c6980e5-d83b-458b-b651-5c646bdba8e6,Felicita Puttana,Thegiornalisti,9
4d755795-8be1-495d-9539-5bc9cf385011,Worth It,Fifth Harmony & Kid Ink,9
53f634ff-9dfd-4eb4-83c7-b72c9455bd6a,La Cintura,Alvaro Soler,9
59578cc9-ae4d-4a5a-9186-7c8de7a90f92,Dheere Dheere,Yo Yo Honey Singh,9
5cd274a2-6652-4333-b364-1eb7e47f4f9b,Thinking About It,Nathan Goshen,9
5dc7049b-7262-4b4b-b6f9-1a65608f9c39,Stargazing,Travi$ Scott,9
5e76abdd-c618-48ac-89a9-12710d6c4c74,When I Grow Up,Dimitri Vegas & Like Mike  Wiz Khalifa,9
692734eb-43a4-438c-bc2e-280c1597fffa,Hoe Je Bent,Broederliefde & Frenna,9
694649f5-be24-4450-9367-f3a507417048,What Do You Mean?,Justin Bieber,9
6f4a08df-bd30-401e-9f51-07c3f0657aee,If You're Over Me,Years & Years,9
70d2553f-eed8-45c8-aa78-eaad4633311b,Maria,Bizzey & Ronnie Flex  $hirak,9
728f5ecb-d9fe-4b7a-9481-6fbfcc3d77c2,Que Suerte Tiene El,Luciano Pereyra,9
74613fd2-4025-4469-a517-ef14b01515da,Ignite,Alan Walker & K-391  Julie Bergan & Seungri,9
7508cbf5-57ee-493f-8ccf-3364fe6b78c8,Ballin,Luciano,9
7c0b1c6e-6322-46f4-9332-22045017092b,Wine Slow (Remix),Ronnie Flex & Famke Louise,9
7c4d6cfc-be0c-469b-8c24-54f673da3aa8,Kennzeichen B-TK,Capital Bra,9
7d72559c-3348-4a21-9332-6b63beed22f8,Da Zero A Cento,Baby K,9
82cd7638-4c94-467b-85be-a599f1268f6e,Fotografia,Carl Brave  Francesca Michielin & Fabri Fibra,9
876e57e5-0171-4e0d-8c03-a39b19011449,Davide,Gemitaiz & Coez,9
89e27ef6-3b33-40cf-96f4-2aa5a8859ffe,Familiar,Liam Payne & J Balvin,9
8bbbb533-fcb4-4a6b-9134-4fec2b64064e,Me Niego,Reik  Ozuna & Wisin,9
8ce55083-430d-4578-878e-2fc009e14e9c,Ellie,Regi & Jake Reese,9
93dda168-4adc-4d4e-a429-72bb0196c8c4,One Night Stand,Capital Bra,9
97cf4d9d-8235-4353-aa4e-eafc91bbd5e1,Oui,Sivas  Node & Gilli,9
9bbd0cf8-a9df-488b-b8e3-ce782ac02420,Sandra's Rose,Drake,9
9f2a92b6-294c-4570-b93e-f800106b085d,Lost On You,LP,9
a4691845-0ab9-415c-ac52-8a63249796df,2002,Anne-Marie,9
a6b8f3a9-999d-4774-b5f0-d08b194333ec,Havana,Camila Cabello & Young Thug,9
a931a49a-d5e2-4ef7-83b2-193abeb82896,Dusk Till Dawn,Zayn & Sia,9
ab2f0435-1058-49fb-a81d-a390d2a75d1c,500 PS,Bonez MC & RAF Camora,9
