00bc06f6-8a74-4903-a6f0-0041e18c60b1,Girls Like You,Maroon 5 & Cardi B,0
01232859-5678-46ad-8e30-acdae3bcf290,Flames,David Guetta & Sia,0
027fe2a9-b89a-48c2-ab23-886aa02e7ef9,I Wanna Know,NOTD & Bea Miller,0
0320831a-bd34-4a66-8620-29f1f7c6b707,Ocean,Martin Garrix & Khalid,0
05338ba6-1b06-4b8d-a342-0bb127ec7566,Duro Y Suave,Leslie Grace & Noriel,0
07fc9af2-4810-4620-9090-3ac1dde8e665,Fight Song,Rachel Platten,0
08c2e58d-4ba5-44b0-abfd-e769d51d4314,No Tears Left To Cry,Ariana Grande,0
0961f906-7c79-4ba8-aca0-0aa4d9876979,Je Ne Parle Pas Francais,Namika,0
0a63b085-f55d-4a2a-954b-b9ea5bf0a0fc,Nightvision,Broederliefde,1
0db30d12-7a8b-411a-aea7-3dd60e432a05,My Way,Calvin Harris,0
0e876bc9-584f-4bf4-b91b-9435266a8dc4,Mafiosa,Lartiste & Caroliina,1
0f44856b-5701-4ad2-a134-0ebc06f4117c,Sunshine Girl,Moumoon,1
11aa8ac4-72d9-42b9-952e-b02bde1213dd,Ponto Fraco,Thiaguinho,0
11b59599-c798-4f12-9f96-fdbe9c58387a,Zkittlez,Gringo,1
123e2108-d2a8-44e0-99c2-6cf8d2c7556f,Berlin Lebt,Capital Bra,1
12bb999b-9892-4c67-ad53-9dc38d4005f3,Lovely,Billie Eilish & Khalid,0
13ad32d4-e685-4531-816c-9d985610ed29,El Clavo,Prince Royce & Maluma,0
1503bcb5-a862-4601-8203-82edd81a7a7d,Drunk Groove,Maruv & Boosin,0
16301e55-d806-4e06-9a93-722ce7e88d71,Heathens,Twenty One Pilots,0
17c9be57-27cd-4959-9a87-fde6bf2f5848,Siguelo Bailando,Ozuna,0
18d7b04b-838d-4061-8479-bf350a045e07,Alright,Jain,0
191c2675-351e-451e-9ca9-79a995aea70c,I Said Hi,Amy Shark,0
1d1077cb-0c4e-4af7-9732-77a98398d6e4,Body,Loud Luxury & Brando,1
1df3a71e-deff-44f0-a4a5-13b69789810a,Fake Love,BTS,0
1eb75bbf-b122-4dc5-ada4-65ebab3f2258,Miljonair,$hirak  SBMG  Lil Kleine  Boef & Ronnie Flex,0
1ed16568-0b33-4de8-b0d9-ffd57af8e72f,Cool For The Summer,Demi Lovato,0
1efa8d6d-0fca-4681-900f-f0fbbf928d43,The Hills,Weeknd,0
1fde8932-da88-4276-bc7a-874b16435178,One Kiss,Calvin Harris & Dua Lipa,0
21350f38-f651-4c36-9b2d-12deefb5f191,Trust Me,L. B. One & Laenz,0
21e114e4-fafd-4f24-886e-aa09fbc27156,Friends,Marshmello & Anne-Marie,0
233b4d87-2ce4-4c63-92a2-ddbe4ff054c3,Dura,Daddy Yankee,1
24d66702-ebbf-4660-b8a6-1065772cc710,Hon Dansar Vidare I Livet,Hov 1,0
25046788-85ca-44d7-8400-f095daff3c77,DJ Waley Babu,Badshah,1
254e6001-d91e-435e-bc57-6c952fc9e874,La Meme,Maitre Gims & Vianney,0
26280bba-4735-4a6e-8a1b-579555b88fa6,Bua Bua,Naiara Azevedo,0
2698cda4-ce7e-4d9d-814b-4236ca113c09,Easy Love,Sigala,0
2884ad1f-6820-4577-ab6d-748299cd1c0a,Amore E Capoeira,Takagi & Ketra  Giusy Ferreri & Sean Kingston,0
29d1b93d-3364-427e-a29c-c42bc370321c,Don't Give In,Snow Patrol,0
2a6187d2-050c-4bf8-a63c-cc7717eda3e6,Apelido Carinhoso,Gusttavo Lima,0
2b1854e0-3b58-48ae-9dbe-7f234830eca9,Te Amo,Piso 21 & Paulo Londra,0
2c013a3e-3bba-48d7-b3a3-2204e8d1a3ed,Se Vuelve Loca,CNCO,0
2c957b10-783a-416d-bc06-c89eeb8585f5,Non Ti Dico No,BoomDaBash & Loredana Berte,0
2cb56459-b9e2-429f-bc57-6ec9afbb8e02,El Prestamo,Maluma,0
2d08732f-f76c-4aba-87c0-d62ae0cc5717,Healing Hands,Conrad Sewell,0
2df6aaf0-3114-4ff1-90e3-2e7f98150a46,Wish I Knew You,Revivalists,0
2e9d01eb-db10-4dec-bbcc-cca5722255d2,Baaton Ko Teri,Arijit Singh,1
31066cf1-c8e2-4cce-924c-b15ca923a3f0,Wann Dann,Capital Bra,1
3249bc09-368d-4d7c-8157-e68a49041887,Drink About,Seeb & Dagny,0
327d9501-5512-4fbe-8144-55a27eb559e4,Mercedes,Eno,1
33520753-f530-473d-9cf1-5d5944483c26,Vibes,Six60,0
338b8889-b067-4524-b342-9d5d01ab5e3e,Glad,Bro,0
33d319c2-bc32-4dd6-8f8d-7c018c0c180e,079,Lo & Leduc,1
34d04c3f-3e4d-48b3-8d6b-fff424fb7fd5,Solo Yo,CNCO,0
352ab830-d66e-40e6-b133-a4a02d230476,Melodien,Capital Bra,1
35387f2b-aa16-4d4e-9182-cd965b649161,Locked Away,R. City & Adam Levine,0
356cd891-32ca-48cc-93ff-6bf7542142b6,Feel It Still,Portugal. The Man,0
357a8dc6-afd7-40a2-ba7c-60f039853d0f,Sin Pijama,Becky G & Natti Natasha,0
36e37c0c-f176-4b35-8c2d-6f20032471a5,Nonstop,Drake,1
397fe04d-cb04-4f7f-a66c-0d6eea684bd6,Devia Ir,Wet Bed Gang,0
3a0c7a5a-ec9a-4fe7-a888-b697a16eecb6,In My Blood,Shawn Mendes,0
3a87a14f-11e2-4460-836f-475dc89942b2,Marvin Gaye,Charlie Puth & Meghan Trainor,0
3bfea206-d2c2-4d8a-a667-8a44d8f3e0d1,Day By Day,Swanky Tunes & LP,0
3c0aa265-3093-4445-baf8-b7f9aaab982f,Oh Child,Robin Schulz,0
3e39da7b-6c1a-481a-87be-7f0ff9f0a7c4,Together,4Magic,0
402a7844-23fd-49ba-a65e-9812fba2125d,Kom Over,Kesi,0
429f5e04-9e87-40bb-8299-9bb8f4f382a2,Bonfire,Felix Jaehn & Alma,0
4342aabb-35fc-4ff0-9b02-3b387a5e53eb,Sit Ku Ma Oon Vapaa,Sanni,0
43c1a0a1-0c99-4983-b88b-836f05ecb872,Wicked Ones,Dorothy,0
441bef75-8667-4d0f-af22-9cbaaf0dccfc,Djadja,Aya Nakamura,1
46712ee8-fec5-4b2d-a87d-0104a7e21754,Neymar,Capital Bra,1
46b45597-db8b-4e96-b1ff-b03cf8fa4fa0,Italiana,J-AX & Fedez,1
47755782-6e4c-43a1-957d-9069cb322f4f,Magic In The Air,Magic System & Chawki,0
49a7df04-8170-4dcb-b161-2eb9e539177a,Hipocrita,Anuel AA & Zion,0
4a934dc2-61fb-425b-80bb-3615b63075ee,Melody,Lost Frequencies & James Blunt,0
4bd5e23c-c14b-4cbe-8ff4-6848edd37110,Star Train,Perfume,1
4c6980e5-d83b-458b-b651-5c646bdba8e6,Felicita Puttana,Thegiornalisti,0
4ca400eb-8df3-4e9b-a547-c260035725cc,6 Days,Mahmut Orhan & Colonel Bagshot,0
4d4aa4d2-62ee-4e51-b9e9-3624c1f38748,Ya Baba (Fitna Farebi),Nakash Aziz,0
4d755795-8be1-495d-9539-5bc9cf385011,Worth It,Fifth Harmony & Kid Ink,0
4e3d0c2e-db4e-458e-891b-41819fb1c2f6,Tesla,Capo Plaza  Sfera Ebbasta & DrefGold,1
4e4e5b17-459b-49b7-b021-bfa90b15b289,Ao Vivo E A Cores,Matheus & Kauan  Anitta,1
52020f5e-9901-493c-a26e-eb609e6aa8cf,Toto,Noizy & RAF Camora,1
52370ac0-6d5a-4a39-8a9d-aff86795c4b9,No Brainer,DJ Khaled & Justin Bieber,1
52c9da8c-5619-46f6-97e6-2da701516e6f,Bien Duro,C. Tangana,0
5344771d-ab41-4bdf-8cfe-f12f1351c75f,Ysariboi,Dj Oku Luukkainen  Pasi Ja Anssi & Portion Boys,1
53f634ff-9dfd-4eb4-83c7-b72c9455bd6a,La Cintura,Alvaro Soler,1
55163d52-e34d-4b9c-ad8b-cd4a47d99c47,XTC,Lukas Leon  Etta & Cheek,0
57329a9b-2cd9-4c99-8495-57eecae9209c,Perfect,Ed Sheeran,0
573de191-e18a-4170-add1-6623bb3dffe4,God Is A Woman,Ariana Grande,0
58145d31-e027-4016-9354-ac2506dc3c48,Rise,Jonas Blue,1
58eaa9bb-6ff9-4824-91ab-2ba4df8c5f9e,Meli Meli,Ali B & Numidia  Ronnie Flex,1
590af6e7-cdf9-41f5-8d0e-0d05280aaed2,Usted,Juan Magan & Mala Rodriguez,0
591aa48e-d491-4d02-a78c-d8c099acf0a8,Sicko Mode,Travi$ Scott,1
59578cc9-ae4d-4a5a-9186-7c8de7a90f92,Dheere Dheere,Yo Yo Honey Singh,0
5cd274a2-6652-4333-b364-1eb7e47f4f9b,Thinking About It,Nathan Goshen,0
5db49575-d546-46cb-97fb-cf9d6a4a18da,Happier,Ed Sheeran,0
5dc7049b-7262-4b4b-b6f9-1a65608f9c39,Stargazing,Travi$ Scott,0
5e76abdd-c618-48ac-89a9-12710d6c4c74,When I Grow Up,Dimitri Vegas & Like Mike  Wiz Khalifa,1
60e7d91e-62b3-4be5-b0ce-a5a604bab0e0,Shotgun,TIX,0
622e8c25-959c-476f-b927-89cfeb2379dc,Solo,Clean Bandit & Demi Lovato,0
635268b4-d00c-41d7-9539-87aa05ea9873,Echame La Culpa,Luis Fonsi & Demi Lovato,0
644f3320-8aeb-40b2-977d-5376c7099ba0,Around The World,Natalie La Rose & Fetty Wap,0
66327333-6df4-47c8-8928-048f57f16b02,A L'Ammoniaque,PNL,0
68121cbc-2be3-4d97-9555-2b14ad06db22,Toto Et Ninetta,JUL,0
68b7a4a2-f816-4756-a561-1c99dc3a8540,Dura,Daddy Yankee  Bad Bunny  Becky G & Natti Natasha,1
692734eb-43a4-438c-bc2e-280c1597fffa,Hoe Je Bent,Broederliefde & Frenna,1
692ba5dd-1c5e-4cd1-ba86-aa8fbf9c63c0,I Like It,Cardi B  Bad Bunny & J Balvin,1
694649f5-be24-4450-9367-f3a507417048,What Do You Mean?,Justin Bieber,0
69b279aa-3781-48c8-a6b0-92deabbdc883,Hands Up,Merk & Kremont,0
6f4a08df-bd30-401e-9f51-07c3f0657aee,If You're Over Me,Years & Years,0
7014f4c7-caaa-4cdc-8321-070aa86d17e5,Lay It All On Me,Rudimental & Ed Sheeran,0
7021eca1-f05c-4af5-aefd-3488ef1ec3e7,Eastside,Benny Blanco  Khalid & Halsey,0
7085dc5d-b671-4b71-b25f-baff2e5df865,Downtown,Macklemore & Ryan Lewis  Eric Nally  Melle Mel  Kool Moe Dee And Grandmaster Caz,1
70d2553f-eed8-45c8-aa78-eaad4633311b,Maria,Bizzey & Ronnie Flex  $hirak,1
7213cc27-1003-4b04-bffe-544410d49ec4,Speed,Zazie,0
728f5ecb-d9fe-4b7a-9481-6fbfcc3d77c2,Que Suerte Tiene El,Luciano Pereyra,0
74613fd2-4025-4469-a517-ef14b01515da,Ignite,Alan Walker & K-391  Julie Bergan & Seungri,0
7508cbf5-57ee-493f-8ccf-3364fe6b78c8,Ballin,Luciano,1
78ab5cae-f9fd-460a-b490-ff47aa14331f,Seksihelteet,Hesaaija,1
78cad6dc-9c62-4309-8c58-935fce29826b,Liefde In De Lucht,Kraantje Pappie & Joshua Nolet,0
7a7b4c95-abbb-4078-b286-d695827002df,Like I'm Gonna Lose You,Meghan Trainor & John Legend,0
7ab02a8b-b9fd-4db5-bc88-e1991da3f3ae,I'll Be There,Jess Glynne,0
7adf31c7-1ef4-41a1-bd88-ead58058fe59,Wide Awake (Red Mix),Eric Saade  Gustaf Noren  Filatov & Karas,0
